New York City,-74.00,40.71
Johannesburg,28.05,26.20
Los Angeles,-118.24,34.05
Hong Kong,114.11,22.40
Chicago,-87.63,41.88
Atlanta,-84.39,33.75
Toronto,-79.39,43.65
Sydney,151.21,-33.87
Vancouver,-123.12,49.28
Mexico City,-99.13,19.43
Paris,2.35,48.86
Berlin,13.41,52.52
Munich,11.58,48.14
Tokyo,139.69,35.69
Amsterdam,4.90,52.37
Sao Paulo,-46.63,-23.56
Buenos Aires,-58.38,-34.60
London,-0.13,51.50
Stockholm,18.07,59.33
Moscow,37.62,55.76
Bern,7.45,46.95
Beijing,116.41,39.90
Seoul,126.98,37.57
New Delhi,77.21,28.61
Salzburg,13.06,47.81
Copenhagen,12.57,55.68
Cincinnati,84.51,39.10
Melbourne,144.96,-37.81
Madrid,-3.70,40.42
Brussels,4.35,50.85
